Window,Variant,N,tcrit,SupraPct,MaxAbsT,nCandidate,NullP95,nSurvive
post,primary,16,2.13144954555977,22.4552572706935,5.38720995874894,12,267.721390039132,2
post,sens_n12,12,2.20098516009164,16.0514541387025,4.33636107960841,23,257.832077384781,1
pre,primary,16,2.13144954555977,2.49719416386083,3.09644164692453,26,262.047441104577,0
pre,sens_n12,12,2.20098516009164,3.56341189674523,4.19306429857204,19,239.507255977743,0
