Variant,Cluster,Start_ms,End_ms,Peak_t,Tmax_threshold,Tmax_p,Survives
"Post-stimulus, N = 16 (primary)",1,362.903225806452,665.322580645161,-5.38720995874894,4.95603658790679,0.015984015984016,1
"Post-stimulus, N = 16 (primary)",2,778.225806451613,1197.58064516129,3.84527424902124,4.95603658790679,0.42957042957043,0
"Pre-stimulus, N = 16 (primary)",NaN,NaN,NaN,3.09644164692453,5.05963993993115,0.912087912087912,0
"Post-stimulus, N = 12 (registered 40-trial minimum)",1,366.935483870968,669.354838709678,-4.33636107960841,5.62758674531325,0.347652347652348,0
"Pre-stimulus, N = 12 (registered 40-trial minimum)",NaN,NaN,NaN,4.19306429857204,5.46840380853264,0.393606393606394,0
"primary, both windows pooled",1,362.903225806452,665.322580645161,-5.38720995874894,5.35667125829288,0.042957042957043,1
"primary, both windows pooled",2,778.225806451613,1197.58064516129,3.84527424902124,5.35667125829288,0.687312687312687,0
"sens_n12, both windows pooled",1,366.935483870968,669.354838709678,-4.33636107960841,6.00300173965454,0.551448551448551,0
