Subject,Proportion_1s,Proportion_2s,Shannon_Entropy,RunsTest_p,ACF_Lag1,ACF_Lag2,ACF_Lag3,ACF_Lag4,ACF_Lag5,ACF_Lag6,ACF_Lag7,ACF_Lag8,ACF_Lag9,ACF_Lag10
sub-001,0.5666666666666667,0.43333333333333335,0.9871377743721862,0.5669656073380547,-0.058408748114630454,-0.18582202111613877,-0.060972850678733016,-0.05263951734539969,-0.05901206636500752,-0.08461538461538458,0.1952111613876319,0.12096530920060326,-0.021153846153846145,-0.19720965309200608
sub-002,0.4666666666666667,0.5333333333333333,0.9967916319816367,0.05864718163894581,-0.17916666666666672,0.09702380952380951,-0.11116071428571432,-0.002380952380952408,0.07291666666666664,-0.034821428571428614,0.04047619047619046,-0.15208333333333343,-0.027678571428571472,0.014136904761904715
sub-003,0.44166666666666665,0.5583333333333333,0.9901592635041825,0.4780078640737574,-0.07305219187083452,0.021735661316061194,-0.07131089833849621,-0.16435745799305357,-0.18981742232235052,0.10378766544635315,0.02566647892612411,0.12045433211301983,-0.04017882286679805,-0.13322538252135555
sub-004,0.5,0.5,1.0,0.7138485162490394,-0.041666666666666664,-0.18333333333333332,-0.058333333333333334,0.016666666666666666,-0.10833333333333334,-0.03333333333333333,-0.025,0.03333333333333333,0.008333333333333333,-0.08333333333333333
sub-005,0.49166666666666664,0.5083333333333333,0.999799616411146,0.584285287432104,0.04139807353894603,0.08307400203760304,-0.0086204501250347,-0.03362971195702505,-0.058638973789015406,0.04972214504028898,-0.14200009261831983,0.08278225432990645,-0.14228257849402604,0.0661063258312495
sub-006,0.5,0.5,1.0,0.7138485162490394,-0.041666666666666664,-0.03333333333333333,-0.008333333333333333,-0.08333333333333333,0.041666666666666664,0.1,-0.041666666666666664,-0.06666666666666667,-0.15833333333333333,-0.03333333333333333
sub-007,0.44166666666666665,0.5583333333333333,0.9901592635041825,0.6848329274287813,0.0283277011170562,0.051586407584717914,-0.2591453111799493,-0.11563878719609498,-0.0884375293344598,0.10378766544635308,-0.05684548953346475,-0.08230545386276167,0.012482399324134013,-0.0129775650051629
sub-008,0.5,0.5,1.0,0.7138485162490394,-0.041666666666666664,0.05,-0.075,-0.1,0.058333333333333334,0.0,-0.10833333333333334,0.05,-0.025,-0.016666666666666666
sub-009,0.4583333333333333,0.5416666666666667,0.99498482818597,0.6554444498153282,-0.047610722610722606,0.11037296037296038,-0.11625874125874129,0.05990675990675992,-0.05064102564102563,-0.10944055944055944,0.03315850815850815,-0.11095571095571095,-0.001923076923076935,0.0064102564102563936
sub-010,0.5333333333333333,0.4666666666666667,0.9967916319816367,0.3320611001241254,-0.09657738095238097,-0.054761904761904796,0.1388392857142857,0.031101190476190428,-0.09449404761904763,-0.019196428571428607,0.10744047619047617,-0.08511904761904765,-0.17723214285714287,-0.019345238095238134
