Cluster,Start,End,Peak,Tvalue,ES,NumElectrodes,Channel,Mass,pcorr
2,362.903225806452,665.322580645161,451.612903225806,-5.38720995874894,-1.34680248968723,11,C3,1034.86752261882,0.000999000999000999
1,778.225806451613,1197.58064516129,1028.22580645161,3.84527424902124,0.96131856225531,8,O1,747.692514697888,0.000999000999000999
