sub,pre_dB,post_dB
1,0.303207199104911,0.98846457946312
2,0.596015372136094,1.80597105920337
3,1.15856441819965,1.52728131708457
4,0.152036446484352,1.60817926004573
6,-0.357629130558287,0.739235751842521
7,0.766483923738569,1.16976137942248
8,0.66409461526797,1.02812113701447
10,0.579977724000358,3.04011594275072
11,0.449768494219491,0.260245413528494
12,-0.137275166549934,0.700060976771809
13,0.409945378997179,2.72671313110065
14,-0.145035118878006,0.655104834433786
15,1.35894600223479,1.58359468229545
16,0.056361442093511,0.739691608463353
17,0.725190753566849,0.714250770341735
18,0.0935931673874677,1.38990736958417
