sub,eeg,cond,per,ocular,muscle
1,47.8116705614111,0,14.6922087558383,19.3663694726275,12.3551283974437
1,45.2648568554893,0,20.3490787719011,19.8775132618059,20.5848615269487
1,47.2268013766178,0,19.0473473404331,20.9560139409772,18.0930140401611
1,47.8692610828311,0,21.1237119859022,23.9376482780435,19.7167438398315
1,44.8875935258691,1,14.0063647809235,15.2194765281914,13.3998089072896
1,47.542473458189,0,14.6771743764786,13.9820526727785,15.0247352283286
1,45.7885056916618,1,14.9783812198838,15.6974409964326,14.6188513316094
1,45.4884106259116,1,12.7297523436286,16.0526846018555,11.0682862145151
1,47.5930229074771,1,14.5304195387087,18.6184039946791,12.4864273107235
1,49.0002727581328,1,27.3083154336591,31.0879510710482,25.4184976149646
1,45.1980520990091,0,19.2574662583833,18.8661394471374,19.4531296640063
1,47.6752157191506,0,18.0802115582795,25.0146075815868,14.6130135466259
1,46.0090810976357,1,19.32762453664,20.7047522724214,18.6390606687493
1,45.80904942836,0,14.2905678724239,15.9848869953906,13.4434083109406
1,46.8954467532598,0,26.8694478675672,27.0062330209232,26.8010552908893
1,44.3657337572874,0,25.3864844164286,27.5209071510758,24.319273049105
1,47.0876023050304,0,23.1092281393628,26.6698161792233,21.3289341194326
1,44.5652911768708,0,16.2829668418896,19.1326877253027,14.8581064001831
1,45.6845359806089,0,29.0825633644223,29.2109171941846,29.0183864495411
1,47.3234251348743,1,22.868386034155,31.6460610933589,18.479548504553
1,45.86323530485,0,19.0881822317093,22.3136895032534,17.4754285959373
1,49.6678098489591,1,40.1690050143395,42.2343015601632,39.1363567414276
1,45.6825002659642,0,22.3365890949426,27.4782815406461,19.7657428720908
1,45.7914516610068,1,30.5040791883964,32.6649631929154,29.423637186137
1,47.905058404115,0,36.3788727129212,39.85695563815,34.6398312503067
1,44.7342072254691,0,26.1287432417712,29.0190948580963,24.6835674336086
1,44.0200274817104,0,18.4426187690803,22.675223519618,16.3263163938114
1,46.3276882256116,1,21.6508212727935,27.8478255763606,18.5523191210099
1,46.6697999852497,0,23.2904563211765,24.7838383493074,22.543765307111
1,45.3870549230147,0,27.6486117990848,34.3287837490815,24.3085258240865
1,45.9735650911991,1,25.2953310274272,24.7664488117216,25.5597721352799
1,44.2368520438628,1,31.2694341033207,32.6330316298338,30.5876353400642
1,47.5231194980208,0,37.0351283129034,37.9487997170179,36.5782926108461
1,46.1721459018177,0,25.0239825856586,29.1474577251579,22.9622450159089
1,45.3604734963459,0,23.0373828387875,29.6400684751679,19.7360400205972
1,44.6938858475982,1,23.3094428404433,28.7590785546346,20.5846249833476
1,44.9672803681928,0,24.0453514905564,26.5049354154764,22.8155595280964
1,47.3520941984271,0,26.5335805666463,30.8356090880191,24.3825663059599
1,48.4379529890052,1,27.4477533622195,33.7310046534036,24.3061277166274
1,47.002189139806,1,30.187608412144,31.154555619929,29.7041348082515
1,44.6102371600459,0,25.1990624992129,26.9464590070747,24.325364245282
1,45.4939919420022,0,28.5923414635334,33.3618034325892,26.2076104790055
1,43.0809338257565,0,18.8751473840212,22.302994555705,17.1612237981793
1,46.4452877225397,1,28.6896660184038,27.6188515477351,29.2250732537382
1,44.0251136889928,0,20.1905514269336,23.1993743827532,18.6861399490238
1,46.4742093748336,0,32.7796942664093,36.095255623291,31.1219135879684
1,47.8042794649227,1,21.0334252089516,25.8990278832544,18.6006238718003
1,45.993146874398,0,24.5397288369261,31.4423622933005,21.0884121087389
1,47.0147492869618,0,27.0593438751704,30.7523314880911,25.21285006871
1,45.7293728767919,0,25.0399799679698,33.3080479323058,20.9059459858019
1,47.092843176213,0,22.7540272014479,24.1099636841315,22.076058960106
1,44.516777970653,0,30.3093979752219,32.4777843555124,29.2252047850766
1,45.8915971758884,1,22.3656763383362,26.9088941313775,20.0940674418155
1,45.1386430089071,1,24.3017656378375,23.0631954919076,24.9210507108025
1,44.4940130477266,0,20.9156387638015,23.0811305151423,19.8328928881312
1,47.5588900645435,1,34.4701181071276,35.7751868824233,33.8175837194797
1,44.8120935756209,0,23.6579794803042,31.5439275548414,19.7150054430356
1,43.8687164247789,1,24.7342855889445,30.6138318715319,21.7945124476509
1,45.2087631153817,1,23.3279194694328,29.6108079238077,20.1864752422454
1,46.8538536276195,0,31.9422389099856,34.5573288626354,30.6346939336607
1,49.3351214398974,1,37.2215916461275,39.5192792871838,36.0727478255993
1,47.5458794871458,1,36.9381884132602,39.4420901502943,35.6862375447432
1,43.9421573451291,0,21.8280225676098,27.5086786688357,18.9876945169969
1,44.8535518906208,1,27.8498872411231,29.2198550061638,27.1649033586027
1,45.490875307398,1,30.560089774632,39.42412968434,26.1280698197779
1,47.644714445168,0,29.5115416908097,36.9549597309496,25.7898326707398
1,42.5379491452863,0,24.7766213560192,28.7937168370747,22.7680736154914
1,43.4048368982379,0,27.50362805247,31.7678972916835,25.3714934328633
1,46.0795275258542,1,26.521981194246,36.0579947543397,21.7539744141991
1,44.0084472291452,0,27.9694121870285,32.3693810068161,25.7694277771347
1,47.0261300249439,1,31.7703462574129,39.1878816553909,28.061578558424
1,47.008632657839,1,28.1710164543652,31.8702064506328,26.3214214562314
1,42.9782299598728,0,24.2952313916568,26.5730831320751,23.1563055214476
1,47.2709019965712,1,31.1720392848692,32.2322346565772,30.6419415990152
1,47.5599806967866,0,31.0545135618699,37.3910645602265,27.8862380626916
1,44.777073516175,1,28.5764496500862,33.1686968640107,26.280326043124
1,45.560312386103,0,22.6962113722583,25.2473403124282,21.4206469021734
1,45.4592545658961,1,24.4412693710217,28.5610974873877,22.3813553128387
1,44.3469446253955,0,34.7100426777707,35.1830392722952,34.4735443805084
1,44.787980229986,0,23.2397642068475,31.8754037725405,18.9219444240009
1,45.2741744732941,1,24.5598951425696,33.5306666301743,20.0745093987672
1,55.0106477405957,0,38.1013829541948,45.6858829035219,34.3091329795313
1,46.2281182566949,1,25.5637165697998,30.4069926054075,23.142078551996
1,46.4431597283982,1,24.9498103451493,34.1447809537349,20.3523250408565
1,44.6728635171749,1,29.2858770452487,34.0905285671783,26.8835512842839
1,47.6434954675158,0,25.963024371759,28.4708832333995,24.7090949409388
1,44.880409615543,0,23.9173450584469,29.7647974236364,20.9936188758522
1,44.5337375876124,1,30.5478436668178,34.5665203035355,28.5385053484589
1,46.5919101912335,0,25.2896026704098,30.2623490525989,22.8032294793153
1,42.990185429666,1,19.7035915518978,23.2484992598163,17.9311376979385
1,47.6311212871255,1,30.6578613053677,38.8869761136442,26.5433039012295
1,46.1595950954103,0,27.2529086505055,31.3671066792784,25.195809636119
1,44.1387063193958,1,20.5989337246036,22.0845693925297,19.8561158906405
1,47.2669732384135,1,38.13119264035,40.8231874630769,36.7851952289865
1,43.427643625736,1,29.1847052347859,31.98528673415,27.7844144851038
1,44.2823284472683,0,20.3519444969063,21.3615147555359,19.8471593675915
1,46.6161946253798,1,26.3016640745864,31.4720459380167,23.7164731428712
1,45.2693079282193,0,36.0208178318911,40.3381007830312,33.8621763563211
1,47.7040596224037,0,35.1503410063386,31.5905017268643,36.9302606460758
1,43.6693129428549,1,25.0774553322633,29.0929176879735,23.0697241544082
1,43.1328691126113,0,27.6975195279909,32.8681467935553,25.1122058952087
1,45.4655593111999,1,25.1516049668917,28.0746993542477,23.6900577732138
1,43.4234453259765,1,19.3150243680107,24.6080108000547,16.6685311519887
1,44.1103702150388,1,22.520171093204,28.2493671073424,19.6555730861349
1,43.4408629194328,0,30.1088226555024,32.256643809177,29.0349120786651
1,43.9805624103704,0,27.4318224711465,30.3499422372386,25.9727625881005
1,49.4562142895986,1,36.8928698817575,39.6023561821549,35.5381267315587
1,44.7804870974364,1,27.185423754722,31.5390650123769,25.0086031258946
1,42.7357072270112,0,23.7295832569427,25.9886815377408,22.6000341165437
1,42.610778939568,0,21.8137218404678,23.6534323636271,20.8938665788882
1,46.709272859135,1,25.9666299664355,29.9985163233978,23.9506867879544
1,44.1160076185494,1,19.0726178886214,18.8361424724482,19.190855596708
1,45.8368506125544,1,25.2400884377434,28.3456822026397,23.6872915552953
1,47.35375817847,0,27.5550272674274,36.5907900188451,23.0371458917185
1,45.533219024034,1,27.3911836021745,26.9902614517541,27.5916446773847
2,43.0765109748075,1,17.857700672463,20.5076561651805,16.5327229261043
2,45.2071247380725,0,21.4037982696936,25.6190393951076,19.2961777069865
2,42.5046415237769,0,16.7463447958861,24.2184114071436,13.0103114902574
2,46.0354856837442,0,17.349066683534,24.7373413286765,13.6549293609628
2,48.8896963517244,0,17.8950037647982,28.7866574098105,12.4491769422921
2,46.1616187539364,1,19.5593682683552,22.4521231444723,18.1129908302967
2,44.2686708381404,0,15.792624893871,20.4714514424189,13.453211619597
2,44.5399655392827,1,18.3908047717064,23.5637298921799,15.8043422114696
2,46.3300280982419,1,18.9924523585167,21.7738198672409,17.6017686041545
2,43.1998550673552,1,18.4996578278951,24.1819310103051,15.6585212366902
2,45.2772126934733,1,17.2739278003706,21.5785667472948,15.1216083269085
2,45.7838513534136,1,19.5054650194082,28.0534143350877,15.2314903615685
2,46.7069147294195,0,19.9860584636299,29.2946079077972,15.3317837415462
2,43.5612386473565,0,22.4304108707661,31.3869347075194,17.9521489523895
2,45.1102711054654,0,20.0348163795517,29.3309799239745,15.3867346073403
2,48.0836537905067,1,39.5799309867331,56.99767336328,30.8710597984597
2,45.4584848442205,0,18.2917690572738,32.0795258309276,11.3978906704469
2,42.801043221624,0,19.6905198583657,28.4422943701838,15.3146326024567
2,46.2302881209333,0,20.8106450150662,27.3388224535289,17.5465562958349
2,47.5575175153368,0,19.5283296724419,24.1319038050378,17.226542606144
2,48.8145543925964,1,19.9300654866903,26.275817328221,16.757189565925
2,46.8252973060006,0,18.7218225733931,25.5780560448568,15.2937058376612
2,44.2242170963621,0,17.7991359889776,22.9115925955831,15.2429076856748
2,43.3643635328023,1,16.9430143011705,23.2417089703831,13.7936669665642
2,46.5171040176135,1,17.3811151406942,21.571826801472,15.2857593103054
2,46.6516660240294,0,17.8550416393156,22.5006488477225,15.5322380351121
2,44.5764052355366,1,19.9644769669645,26.5750679517652,16.6591814745641
2,48.4738787069736,1,17.7096721670288,20.0896882969598,16.5196641020633
2,51.1305306366184,1,21.7232381006168,25.1901961269375,19.9897590874564
2,48.1135214474055,1,18.1278174319304,24.0307128815386,15.1763697071264
2,44.1113728378078,1,19.0684998720246,20.4490957172043,18.3782019494348
2,51.0226304095882,1,18.315913559574,25.9256711340924,14.5110347723148
2,43.3967906798651,0,16.4979344769189,22.5232745161424,13.4852644573071
2,50.3204683779255,0,22.2328048717362,28.9438231030073,18.8772957561007
2,46.855057236879,1,20.6074282970445,24.3866490664252,18.7178179123542
2,49.607801209087,1,19.4730492453059,27.7652608909882,15.3269434224648
2,47.7938647900645,1,18.2887163724418,26.6800713392009,14.0930388890623
2,48.133177284261,1,23.9420219133299,26.0822345381495,22.8719156009201
2,42.6560182242308,1,15.0163598728717,20.950320241517,12.0493796885491
2,44.0036376843715,0,20.7694204820505,22.5807329763357,19.8637642349079
2,44.7384381320824,1,15.4627222885207,21.3655669456938,12.5112999599341
2,40.6895320521101,0,18.8574358362824,23.8328334156398,16.3697370466037
2,44.9908401153234,1,16.2421931838834,24.7765510639277,11.9750142438613
2,47.09591068275,0,20.6018441209551,24.5417232755144,18.6319045436755
2,47.7164196182798,0,18.0242360371162,21.0887109414296,16.4919985849595
2,42.7401633163792,1,18.8456058325362,27.0624995366702,14.7371589804691
2,45.8751411688233,1,18.6348648834385,24.1288612410765,15.8878667046194
2,44.8800848855657,1,21.729469867818,25.155199500196,20.016605051629
2,50.4270894759009,1,28.4399659356162,31.260001396515,27.0299482051668
2,47.2424170564901,0,16.139325567536,18.9918161241738,14.7130802892171
2,45.8344731071771,1,19.3363578649504,21.8107371249195,18.0991682349659
