sub,effect_dB,n_collision,n_nocollision
1,0.338091230018669,53,61
2,0.679645339362452,48,39
3,1.21526671133453,46,59
4,0.15203644648436,49,55
6,-0.357629130558301,56,59
7,0.785110468135294,49,64
8,0.699965549609594,55,57
10,0.579977724000365,55,51
11,0.466514234432971,52,35
13,0.409945378997179,50,58
14,-0.0971080586450199,42,48
15,1.42716746087093,54,39
16,0.230329708759605,53,52
17,0.748288986227621,48,37
18,0.0935931673874748,43,64
