Mediator,c,c_p,c_direct,c_direct_p,a,a_p,b,b_p,indirect,indirect_p,pct_removed
per,0.454101379199662,0.00192482779675079,0.337180575720619,0.00154527441228052,0.338280829567858,0.18802017481577,0.221091001900843,1.01941896438233e-05,0.116920803479043,0.113181501174225,25.747731417401
ocular,0.454101379199662,0.00192482779675079,0.374135303101189,0.00125782566485848,0.135973103781147,0.691520788360193,0.145401244223308,0.000377625786252087,0.0799660760984734,0.245948967479492,17.6097408555356
muscle,0.454101379199662,0.00192482779675079,0.341636479064707,0.00151346832357879,0.439434692461213,0.0703877735238963,0.205663668692138,1.49852280125697e-05,0.112464900134955,0.0954246991720151,24.7664740268286
