sub,long_run,short_run,early,middle,late
1,0.679538108452789,0.171668273773953,0.250257773842087,1.35111351956716,-0.266934202568528
2,-0.397031413780361,0.218057633610961,1.26218018673117,-0.0520282245491046,1.91939853892043
3,4.97217500673184,0.742293476995066,2.10055533438713,0.697950947581262,1.29540331428118
4,-2.7471082817761,0.280327796914342,0.813947757812038,0.0971705282309898,-0.682645908029009
6,-1.01588524371105,-0.558879856374418,-0.307746575646981,-0.68066877656009,0.205013717351875
7,2.82447736141156,0.254889643808696,-0.119233373875325,1.35435694853573,0.908493326620587
8,1.42930178403467,0.73550775651578,0.437666854713115,0.0680510101462986,1.41314329403794
10,2.05515888932459,-0.102230355294644,1.23095335898181,-0.117057032056195,0.741193461041107
11,0.746808799335732,0.116367212809202,NaN,NaN,NaN
13,1.10188867666159,-0.142673285351428,0.657072545312644,0.367763940947725,0.218936962079489
14,1.11202388451668,-0.180669343170258,1.03311859972523,-0.605336775274985,-0.317481967057688
15,2.71923033557782,2.07302144358707,0.164316091909598,1.17929663281211,2.96331961411656
16,0.830589708658302,0.591419655438735,-0.225038062094342,-0.102295276371301,0.822586840422993
17,0.24062136797339,1.45270716595095,NaN,NaN,NaN
18,-0.288560757302406,-0.139063659221179,-0.510411026881037,-0.0929310485454664,0.734647772590556
