Reading,Cond_beta,Cond_t,Cond_p,Trend_beta,Trend_t,Trend_p,RunBlock_pFisher
history only (primary reading),0.526667448326073,4.22466074492876,0.000848878183462328,-0.133658609498649,-2.88241728058087,0.012053534996973,0.96025090520616
matching the current trial (alternative reading),0.523615517243801,4.61536548798632,0.000400584186490246,-0.0179808480581334,-0.372413623389233,0.715161967895229,0.90343046093676
