Peripheral,Pearson_r,Pearson_p,Spearman_rho,Spearman_p,EEG_adjusted_dB,Adjusted_t,Adjusted_p
all peripheral,-0.254310045795205,0.34186923511994,-0.282352941176471,0.288412788046441,0.512350214005033,4.50692638322837,0.000417495438044484
ocular only,-0.262899650363038,0.325240526060837,-0.311764705882353,0.239303647503676,0.519718266867488,4.58263629283685,0.000359142664703061
muscular only,-0.232829004015957,0.385511361526363,-0.270588235294118,0.309683436525817,0.496631360655213,4.34441965566992,0.000577848767382218
