stat,value,t,df,p,n
cond_with_runlen_runlen,0.526667448326073,4.22466074492876,14,0.000848878183462328,15
runlen_trend_runlen,-0.133658609498649,-2.88241728058087,14,0.012053534996973,15
runlen_block_fisher_runlen,0,17.892344623671,30,0.96025090520616,15
cond_with_runlen_runlenOwn,0.523615517243801,4.61536548798632,14,0.000400584186490246,15
runlen_trend_runlenOwn,-0.0179808480581334,-0.372413623389233,14,0.715161967895229,15
runlen_block_fisher_runlenOwn,0,20.4803777462147,30,0.90343046093676,15
long_runs,0.950881881740602,2.035322906566,14,0.0612056774075614,15
short_runs,0.367516237332855,2.09659151150979,14,0.0546767646088567,15
long_minus_short,0.583365644407748,1.33466060083577,14,0.203288418285144,15
block_early,0.522126112685934,2.49358727543558,12,0.0282456901438893,13
block_middle,0.266568184189549,1.40337917580183,12,0.18584745470333,13
block_late,0.765774981831345,2.7800857407882,12,0.0166477491651924,13
block_late_minus_early,0.243648869145411,0.720805323442843,12,0.484835252049297,13
persub_effect,0.491413014427848,4.05888971092729,14,0.00117267675134742,15
persub_positive,13,NaN,NaN,0.00738525390625,15
persub_drop_extreme,0.424573411110485,3.91542442847424,13,0.0017736754281314,14
