mode,window,t_mean,t_p95,t_p5,pct_positive,pct_supra2,cluster_points
none,pre,1.3766756183565,2.81019664658771,-0.0670071641708975,93.9822467095194,24.5607591062137,750
none,post,1.00061498621396,5.08677403444975,-1.52670945148168,71.8547895057962,20.8724832214765,2672
glmbaseline,pre,1.50082004255984,3.20483294901642,-0.23268608540939,92.2742577288032,32.2191613100704,2510
glmbaseline,post,1.07797661384231,5.2254308149486,-1.68169593513829,71.6839536302624,25.7718120805369,2899
