stream,partial_r,t,df,p,n_positive,n
per,0.388543660737375,7.52188530277708,14,2.78491524507141e-06,15,15
ocular,0.306324834879063,5.68085144276602,14,5.67400863555521e-05,15,15
muscle,0.384172285620023,7.26284213351857,14,4.14067222264681e-06,14,15
