mode,window,d_mean,d_p95,d_p5,pct_positive,d_max_abs
none,pre,0.27991134513321,0.561793314383731,0.0025028992985785,95.2004897459443,0.762635626909038
none,post,0.314013313516861,1.72198274114135,-0.441837347010576,75.045759609518,3.67345073049529
glmbaseline,pre,0.27991134513321,0.561793314383731,0.0025028992985785,95.2004897459443,0.762635626909038
glmbaseline,post,0.314013313516861,1.72198274114135,-0.441837347010576,75.045759609518,3.67345073049529
