Channel,Amp_d,Amp_t,Amp_p,Pow_d,Pow_t,Pow_p
VEOG,0.33133872455796,1.32535489823184,0.204887090362497,0.607259166899767,2.42903666759907,0.0281770173735418
HEOG,0.456749107195897,1.82699642878359,0.0876640910374003,0.469946370322553,1.87978548129021,0.0797038168525972
EMG1,0.57933792089562,2.31735168358248,0.0350283874493784,0.619715953017425,2.4788638120697,0.025548721441173
EMG2,0.562268048612597,2.24907219445039,0.0399591568416947,0.651667991976099,2.6066719679044,0.0198337529781941
EMG3,0.32371894935063,1.29487579740252,0.214940433902048,0.567676583812306,2.27070633524923,0.0383305901978598
EMG4,0.420533471174029,1.68213388469611,0.113237432936414,0.406143574507437,1.62457429802975,0.125075466459791
