Cluster,FreqMin_Hz,FreqMax_Hz,TimeMin_ms,TimeMax_ms,PeakFreq_Hz,PeakTime_ms,Peak_t,Cohens_d,Size_pts
1,3,30,-645.161290322581,-370.967741935484,5,-540.322580645161,4.42102575769803,1.10525643942451,878
2,3,30,-354.838709677419,-32.2580645161293,26,-245.967741935484,4.83379214663545,1.20844803665886,1632
