%OpenBCI Raw Aux Data
%Number of channels = 19
%Sample Rate = 50 Hz
%Board = OpenBCI_GUI$BoardGaleaBeta
Sample Index, EDA, PPG Red, PPG IR, Board Temperature, Battery, Accelerometer X, Accelerometer Y, Accelerometer Z, Gyroscope X, Gyroscope Y, Gyroscope Z, Magnetometer X, Magnetometer Y, Magnetometer Z, Raw PC Timestamp, Raw Device Timestamp, Timestamp, Marker, Timestamp (Formatted)
0.0, 0.02933442033827305, 98549.0, 109114.0, 36.6, 87.0, -4.882887006942855E-4, 1.2207217517357137E-4, -1.2207217517357137E-4, 3.448538948653391, -4.257267109178302, 62.45517662317845, -0.015236234891954586, 0.0022219509217433773, 0.006866664632099368, 1.746481471419238E9, 0.053204, 1.7464814713214288E9, 0.0, 2025-05-05 14:44:31.321
5.0, 0.02932903915643692, 98509.0, 109100.0, 36.6, 87.0, -8.545052262149996E-4, -1.2207217517357137E-4, -3.662165255207141E-4, 3.4943160143434806, -4.34882124055848, 62.16525520714122, -0.015236234891954586, 0.0022219509217433773, 0.006866664632099368, 1.746481471419238E9, 0.073378, 1.7464814713416028E9, 0.0, 2025-05-05 14:44:31.341
10.0, 0.029333075508475304, 98518.0, 109082.0, 36.6, 87.0, -6.103608758678569E-4, -3.662165255207141E-4, 2.4414435034714275E-4, 3.5400930800335697, -4.486152437628748, 62.2415503166247, -0.015236234891954586, 0.0022219509217433773, 0.006866664632099368, 1.746481471419238E9, 0.093572, 1.7464814713617969E9, 0.0, 2025-05-05 14:44:31.361
15.0, 0.02933240309357643, 98527.0, 109083.0, 36.6, 87.0, -4.882887006942855E-4, 0.0, 4.882887006942855E-4, 3.555352101930266, -4.3335622186617835, 62.30258640421149, -0.015236234891954586, 0.0022219509217433773, 0.006866664632099368, 1.7464814714676282E9, 0.113786, 1.7464814713819842E9, 0.0, 2025-05-05 14:44:31.381
20.0, 0.02933509461581707, 98043.0, 108784.0, 36.6, 87.0, -8.545052262149996E-4, -2.4414435034714275E-4, 4.882887006942855E-4, 3.509575036240177, -4.470893415732052, 62.37888151369497, -0.015236234891954586, 0.0022219509217433773, 0.006866664632099368, 1.7464814714676282E9, 0.133931, 1.7464814714021292E9, 0.0, 2025-05-05 14:44:31.402
25.0, 0.02933442033827305, 98019.0, 108782.0, 36.6, 87.0, -3.662165255207141E-4, 0.0, 4.882887006942855E-4, 3.5706111238269624, -4.486152437628748, 62.37888151369497, -0.015236234891954586, 0.0022219509217433773, 0.006866664632099368, 1.74648147151528E9, 0.154121, 1.7464814714220562E9, 0.0, 2025-05-05 14:44:31.422
30.0, 0.02932903915643692, 98086.0, 108806.0, 36.6, 87.0, -8.545052262149996E-4, -2.4414435034714275E-4, -1.2207217517357137E-4, 3.555352101930266, -4.318303196765087, 62.08896009765774, -0.015236234891954586, 0.0019045293614943233, 0.007019257179479354, 1.74648147151528E9, 0.174298, 1.7464814714422336E9, 0.0, 2025-05-05 14:44:31.442
35.0, 0.029333747923374176, 98106.0, 108809.0, 36.6, 87.0, -4.882887006942855E-4, -2.4414435034714275E-4, -4.882887006942855E-4, 3.585870145723659, -4.501411459525444, 62.05844205386435, -0.015236234891954586, 0.0019045293614943233, 0.007019257179479354, 1.74648147151528E9, 0.194467, 1.7464814714624023E9, 0.0, 2025-05-05 14:44:31.462
40.0, 0.029333075508475304, 98077.0, 108809.0, 36.6, 87.0, -4.882887006942855E-4, -2.4414435034714275E-4, 1.2207217517357137E-4, 3.6774242771038375, -4.638742656595712, 62.34836346990158, -0.015236234891954586, 0.0019045293614943233, 0.007019257179479354, 1.7464814715741644E9, 0.214643, 1.7464814714850202E9, 0.0, 2025-05-05 14:44:31.485
45.0, 0.02933509461581707, 98074.0, 108835.0, 36.6, 87.0, 6.103608758678569E-4, 3.662165255207141E-4, 7.324330510414282E-4, 3.4790569924467842, -4.638742656595712, 62.363622491798274, -0.015236234891954586, 0.0019045293614943233, 0.007019257179479354, 1.7464814715741644E9, 0.234853, 1.74648147150523E9, 0.0, 2025-05-05 14:44:31.505
